"","Region","Ethnicity","Religion","Highest.education.qualification","Frequency.of.all.media.combined","Working.status","Welth.index","Right","Wrong","Total"
"1089","Nothern","Sri Lanka Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Highest",1,0,1
"1090","Nothern","Sri Lanka Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Lowest",1,2,3
"1091","Nothern","Sri Lanka Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Middle",0,1,1
"1092","Nothern","Sri Lanka Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Second",4,0,4
"1093","Nothern","Sri Lanka Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","Less than once a week","Yes","Lowest",0,1,1
"1094","Nothern","Sri Lanka Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","Less than once a week","Yes","Middle",1,0,1
"1095","Nothern","Sri Lanka Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","Less than once a week","Yes","Second",2,1,3
"1096","Nothern","Sri Lanka Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","Not at all","No","Lowest",1,0,1
"1097","Nothern","Sri Lanka Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","Not at all","No","Second",0,1,1
"1098","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 1-5","At least once a week","No","Lowest",12,13,25
"1099","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 1-5","At least once a week","No","Second",10,4,14
"1100","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 1-5","At least once a week","Yes","Lowest",7,2,9
"1101","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 1-5","Less than once a week","No","Lowest",2,1,3
"1102","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 1-5","Less than once a week","No","Middle",1,0,1
"1103","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 1-5","Less than once a week","No","Second",0,3,3
"1104","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 1-5","Less than once a week","Yes","Lowest",0,5,5
"1105","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 1-5","Less than once a week","Yes","Second",0,1,1
"1106","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 1-5","Not at all","No","Lowest",7,1,8
"1107","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 1-5","Not at all","No","Second",0,1,1
"1108","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 1-5","Not at all","Yes","Lowest",1,2,3
"1109","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 6-10","At least once a week","No","Fourth",11,7,18
"1110","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 6-10","At least once a week","No","Highest",4,4,8
"1111","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 6-10","At least once a week","No","Lowest",86,67,153
"1112","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 6-10","At least once a week","No","Middle",20,13,33
"1113","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 6-10","At least once a week","No","Second",55,51,106
"1114","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 6-10","At least once a week","Yes","Fourth",1,3,4
"1115","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 6-10","At least once a week","Yes","Lowest",20,19,39
"1116","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 6-10","At least once a week","Yes","Middle",1,1,2
"1117","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 6-10","At least once a week","Yes","Second",19,11,30
"1118","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 6-10","Less than once a week","No","Fourth",1,0,1
"1119","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 6-10","Less than once a week","No","Highest",0,1,1
"1120","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 6-10","Less than once a week","No","Lowest",20,26,46
"1121","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 6-10","Less than once a week","No","Middle",1,1,2
"1122","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 6-10","Less than once a week","No","Second",4,8,12
"1123","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 6-10","Less than once a week","Yes","Fourth",1,0,1
"1124","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 6-10","Less than once a week","Yes","Lowest",11,6,17
"1125","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 6-10","Less than once a week","Yes","Middle",0,1,1
"1126","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 6-10","Less than once a week","Yes","Second",4,2,6
"1127","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 6-10","Not at all","No","Lowest",1,1,2
"1128","Nothern","Sri Lanka Tamil","Hindu","Passed Grade 6-10","Not at all","Yes","Lowest",1,0,1
"1129","Nothern","Sri Lanka Tamil","Islam","Degree and above","At least once a week","Yes","Lowest",0,1,1
"1130","Nothern","Sri Lanka Tamil","Islam","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Second",0,1,1
"1131","Nothern","Sri Lanka Tamil","Islam","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Second",0,1,1
"1132","Nothern","Sri Lanka Tamil","Islam","Passed Grade 6-10","At least once a week","No","Lowest",4,3,7
"1133","Nothern","Sri Lanka Tamil","Islam","Passed Grade 6-10","At least once a week","No","Middle",1,0,1
"1134","Nothern","Sri Lanka Tamil","Islam","Passed Grade 6-10","At least once a week","No","Second",0,2,2
"1135","Nothern","Sri Lanka Tamil","Islam","Passed Grade 6-10","Not at all","No","Lowest",0,1,1
"1136","Nothern","Sri Lanka Tamil","Other Christian","Degree and above","Less than once a week","Yes","Middle",1,0,1
"1137","Nothern","Sri Lanka Tamil","Other Christian","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Fourth",1,0,1
"1138","Nothern","Sri Lanka Tamil","Other Christian","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Highest",0,1,1
"1139","Nothern","Sri Lanka Tamil","Other Christian","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Lowest",1,0,1
"1140","Nothern","Sri Lanka Tamil","Other Christian","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Second",1,1,2
"1141","Nothern","Sri Lanka Tamil","Other Christian","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Lowest",1,0,1
"1142","Nothern","Sri Lanka Tamil","Other Christian","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Fourth",0,1,1
"1143","Nothern","Sri Lanka Tamil","Other Christian","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Highest",0,2,2
"1144","Nothern","Sri Lanka Tamil","Other Christian","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Lowest",1,1,2
"1145","Nothern","Sri Lanka Tamil","Other Christian","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Middle",1,2,3
"1146","Nothern","Sri Lanka Tamil","Other Christian","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Middle",1,0,1
"1147","Nothern","Sri Lanka Tamil","Other Christian","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Second",1,1,2
"1148","Nothern","Sri Lanka Tamil","Other Christian","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Lowest",0,1,1
"1149","Nothern","Sri Lanka Tamil","Other Christian","Passed Grade 1-5","At least once a week","No","Lowest",2,0,2
"1150","Nothern","Sri Lanka Tamil","Other Christian","Passed Grade 1-5","At least once a week","No","Second",0,1,1
"1151","Nothern","Sri Lanka Tamil","Other Christian","Passed Grade 1-5","At least once a week","Yes","Lowest",1,0,1
"1152","Nothern","Sri Lanka Tamil","Other Christian","Passed Grade 1-5","Less than once a week","Yes","Second",1,0,1
"1153","Nothern","Sri Lanka Tamil","Other Christian","Passed Grade 6-10","At least once a week","No","Fourth",0,2,2
"1154","Nothern","Sri Lanka Tamil","Other Christian","Passed Grade 6-10","At least once a week","No","Lowest",4,6,10
"1155","Nothern","Sri Lanka Tamil","Other Christian","Passed Grade 6-10","At least once a week","No","Middle",1,1,2
"1156","Nothern","Sri Lanka Tamil","Other Christian","Passed Grade 6-10","At least once a week","No","Second",3,3,6
"1157","Nothern","Sri Lanka Tamil","Other Christian","Passed Grade 6-10","At least once a week","Yes","Fourth",1,0,1
"1158","Nothern","Sri Lanka Tamil","Other Christian","Passed Grade 6-10","At least once a week","Yes","Lowest",1,1,2
"1159","Nothern","Sri Lanka Tamil","Other Christian","Passed Grade 6-10","At least once a week","Yes","Middle",1,1,2
"1160","Nothern","Sri Lanka Tamil","Other Christian","Passed Grade 6-10","Less than once a week","No","Lowest",2,2,4
"1161","Nothern","Sri Lanka Tamil","Other Christian","Passed Grade 6-10","Less than once a week","No","Second",0,1,1
"1162","Nothern","Sri Lanka Tamil","Other Christian","Passed Grade 6-10","Less than once a week","Yes","Lowest",1,0,1
"1163","Nothern","Sri Lanka Tamil","Roman Catholic","Degree and above","At least once a week","No","Fourth",2,0,2
"1164","Nothern","Sri Lanka Tamil","Roman Catholic","Degree and above","At least once a week","No","Second",0,1,1
"1165","Nothern","Sri Lanka Tamil","Roman Catholic","Degree and above","At least once a week","Yes","Fourth",2,4,6
"1166","Nothern","Sri Lanka Tamil","Roman Catholic","Degree and above","At least once a week","Yes","Highest",2,3,5
"1167","Nothern","Sri Lanka Tamil","Roman Catholic","Degree and above","At least once a week","Yes","Middle",2,0,2
"1168","Nothern","Sri Lanka Tamil","Roman Catholic","Degree and above","At least once a week","Yes","Second",2,1,3
"1169","Nothern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Fourth",1,1,2
"1170","Nothern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Highest",1,0,1
"1171","Nothern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Lowest",7,1,8
"1172","Nothern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Middle",2,2,4
"1173","Nothern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Second",4,5,9
"1174","Nothern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Fourth",1,3,4
"1175","Nothern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Highest",2,1,3
"1176","Nothern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Lowest",1,1,2
"1177","Nothern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Middle",4,2,6
"1178","Nothern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Second",4,3,7
"1179","Nothern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(A/L) or equivalent","Less than once a week","Yes","Second",1,0,1
"1180","Nothern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(A/L) or equivalent","Not at all","Yes","Lowest",0,1,1
"1181","Nothern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Fourth",4,8,12
"1182","Nothern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Highest",3,4,7
"1183","Nothern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Lowest",6,10,16
"1184","Nothern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Middle",2,8,10
"1185","Nothern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Second",5,13,18
"1186","Nothern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Fourth",6,1,7
"1187","Nothern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Lowest",1,3,4
"1188","Nothern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Middle",2,3,5
"1189","Nothern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Second",3,2,5
"1190","Nothern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(O/L) or equivalent","Less than once a week","Yes","Lowest",1,0,1
"1191","Nothern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(O/L) or equivalent","Not at all","No","Second",0,1,1
"1192","Nothern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(O/L) or equivalent","Not at all","Yes","Middle",1,0,1
"1193","Nothern","Sri Lanka Tamil","Roman Catholic","Passed Grade 1-5","At least once a week","No","Fourth",1,0,1
"1194","Nothern","Sri Lanka Tamil","Roman Catholic","Passed Grade 1-5","At least once a week","No","Highest",0,1,1
"1195","Nothern","Sri Lanka Tamil","Roman Catholic","Passed Grade 1-5","At least once a week","No","Lowest",1,1,2
"1196","Nothern","Sri Lanka Tamil","Roman Catholic","Passed Grade 1-5","At least once a week","No","Middle",0,1,1
"1197","Nothern","Sri Lanka Tamil","Roman Catholic","Passed Grade 1-5","At least once a week","No","Second",2,0,2
"1198","Nothern","Sri Lanka Tamil","Roman Catholic","Passed Grade 1-5","At least once a week","Yes","Lowest",0,1,1
"1199","Nothern","Sri Lanka Tamil","Roman Catholic","Passed Grade 1-5","Less than once a week","No","Lowest",1,1,2
"1200","Nothern","Sri Lanka Tamil","Roman Catholic","Passed Grade 1-5","Less than once a week","No","Second",0,1,1
"1201","Nothern","Sri Lanka Tamil","Roman Catholic","Passed Grade 1-5","Less than once a week","Yes","Lowest",0,1,1
"1202","Nothern","Sri Lanka Tamil","Roman Catholic","Passed Grade 6-10","At least once a week","No","Fourth",2,5,7
"1203","Nothern","Sri Lanka Tamil","Roman Catholic","Passed Grade 6-10","At least once a week","No","Highest",0,4,4
"1204","Nothern","Sri Lanka Tamil","Roman Catholic","Passed Grade 6-10","At least once a week","No","Lowest",23,32,55
"1205","Nothern","Sri Lanka Tamil","Roman Catholic","Passed Grade 6-10","At least once a week","No","Middle",6,11,17
"1206","Nothern","Sri Lanka Tamil","Roman Catholic","Passed Grade 6-10","At least once a week","No","Second",9,34,43
"1207","Nothern","Sri Lanka Tamil","Roman Catholic","Passed Grade 6-10","At least once a week","Yes","Lowest",6,3,9
"1208","Nothern","Sri Lanka Tamil","Roman Catholic","Passed Grade 6-10","At least once a week","Yes","Middle",0,2,2
"1209","Nothern","Sri Lanka Tamil","Roman Catholic","Passed Grade 6-10","At least once a week","Yes","Second",3,3,6
"1210","Nothern","Sri Lanka Tamil","Roman Catholic","Passed Grade 6-10","Less than once a week","No","Lowest",5,4,9
"1211","Nothern","Sri Lanka Tamil","Roman Catholic","Passed Grade 6-10","Less than once a week","No","Middle",1,0,1
"1212","Nothern","Sri Lanka Tamil","Roman Catholic","Passed Grade 6-10","Less than once a week","No","Second",3,2,5
"1213","Nothern","Sri Lanka Tamil","Roman Catholic","Passed Grade 6-10","Less than once a week","Yes","Lowest",1,1,2
"1214","Nothern","Sri Lanka Tamil","Roman Catholic","Passed Grade 6-10","Less than once a week","Yes","Second",0,1,1
"1215","Nothern","Sri Lanka Tamil","Roman Catholic","Passed Grade 6-10","Not at all","No","Lowest",0,1,1
"1216","Sabaragamuwa","Indian Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Fourth",1,0,1
"1217","Sabaragamuwa","Indian Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Lowest",1,0,1
"1218","Sabaragamuwa","Indian Tamil","Hindu","Passed Grade 1-5","At least once a week","No","Second",1,0,1
"1219","Sabaragamuwa","Indian Tamil","Hindu","Passed Grade 1-5","At least once a week","Yes","Lowest",2,0,2
"1220","Sabaragamuwa","Indian Tamil","Hindu","Passed Grade 1-5","At least once a week","Yes","Second",1,1,2
"1221","Sabaragamuwa","Indian Tamil","Hindu","Passed Grade 1-5","Less than once a week","No","Second",0,1,1
"1222","Sabaragamuwa","Indian Tamil","Hindu","Passed Grade 6-10","At least once a week","No","Lowest",5,1,6
"1223","Sabaragamuwa","Indian Tamil","Hindu","Passed Grade 6-10","At least once a week","No","Second",2,1,3
"1224","Sabaragamuwa","Indian Tamil","Hindu","Passed Grade 6-10","At least once a week","Yes","Lowest",2,2,4
"1225","Sabaragamuwa","Indian Tamil","Hindu","Passed Grade 6-10","At least once a week","Yes","Second",1,1,2
"1226","Sabaragamuwa","Indian Tamil","Hindu","Passed Grade 6-10","Less than once a week","Yes","Lowest",1,0,1
"1227","Sabaragamuwa","Indian Tamil","Hindu","Passed Grade 6-10","Less than once a week","Yes","Second",1,1,2
"1228","Sabaragamuwa","Indian Tamil","Hindu","Passed Grade 6-10","Not at all","No","Lowest",1,0,1
"1229","Sabaragamuwa","Indian Tamil","Islam","Passed Grade 6-10","At least once a week","No","Second",1,0,1
"1230","Sabaragamuwa","Indian Tamil","Other Christian","Passed Grade 1-5","Not at all","Yes","Lowest",1,0,1
"1231","Sabaragamuwa","Indian Tamil","Roman Catholic","Passed Grade 6-10","At least once a week","No","Lowest",1,0,1
"1232","Sabaragamuwa","Sinhala","Buddhist","Degree and above","At least once a week","No","Fourth",1,0,1
"1233","Sabaragamuwa","Sinhala","Buddhist","Degree and above","At least once a week","No","Highest",3,0,3
"1234","Sabaragamuwa","Sinhala","Buddhist","Degree and above","At least once a week","No","Middle",3,1,4
"1235","Sabaragamuwa","Sinhala","Buddhist","Degree and above","At least once a week","Yes","Fourth",8,1,9
"1236","Sabaragamuwa","Sinhala","Buddhist","Degree and above","At least once a week","Yes","Highest",22,0,22
"1237","Sabaragamuwa","Sinhala","Buddhist","Degree and above","At least once a week","Yes","Middle",3,0,3
"1238","Sabaragamuwa","Sinhala","Buddhist","Degree and above","Less than once a week","No","Highest",0,1,1
"1239","Sabaragamuwa","Sinhala","Buddhist","Degree and above","Less than once a week","Yes","Fourth",2,1,3
"1240","Sabaragamuwa","Sinhala","Buddhist","Degree and above","Less than once a week","Yes","Highest",5,0,5
"1241","Sabaragamuwa","Sinhala","Buddhist","Degree and above","Less than once a week","Yes","Middle",0,1,1
"1242","Sabaragamuwa","Sinhala","Buddhist","Degree and above","Less than once a week","Yes","Second",0,1,1
"1243","Sabaragamuwa","Sinhala","Buddhist","No education","At least once a week","No","Lowest",2,0,2
"1244","Sabaragamuwa","Sinhala","Buddhist","No education","At least once a week","No","Second",3,0,3
"1245","Sabaragamuwa","Sinhala","Buddhist","No education","At least once a week","Yes","Lowest",2,0,2
"1246","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Fourth",48,1,49
"1247","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Highest",45,5,50
"1248","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Lowest",8,0,8
"1249","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Middle",34,1,35
"1250","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Second",27,0,27
"1251","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Fourth",25,0,25
"1252","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Highest",44,2,46
"1253","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Lowest",3,0,3
"1254","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Middle",24,0,24
"1255","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Second",11,0,11
"1256","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","No","Fourth",0,3,3
"1257","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","No","Highest",4,2,6
"1258","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","No","Lowest",1,3,4
"1259","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","No","Middle",1,2,3
"1260","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","No","Second",1,2,3
"1261","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","Yes","Fourth",1,4,5
"1262","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","Yes","Highest",4,1,5
"1263","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","Yes","Middle",1,4,5
"1264","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","Yes","Second",0,1,1
"1265","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Fourth",32,3,35
"1266","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Highest",30,3,33
"1267","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Lowest",9,3,12
"1268","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Middle",54,10,64
"1269","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Second",29,8,37
"1270","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Fourth",16,0,16
"1271","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Highest",8,0,8
"1272","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Lowest",2,1,3
"1273","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Middle",16,1,17
"1274","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Second",17,0,17
"1275","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Fourth",3,5,8
"1276","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Highest",5,3,8
"1277","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Lowest",2,4,6
"1278","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Middle",3,5,8
"1279","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Second",3,10,13
"1280","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","Yes","Fourth",0,1,1
"1281","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","Yes","Lowest",1,1,2
"1282","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","Yes","Second",2,3,5
"1283","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Not at all","No","Lowest",1,0,1
"1284","Sabaragamuwa","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Not at all","Yes","Lowest",1,0,1
"1285","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 1-5","At least once a week","No","Fourth",1,1,2
"1286","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 1-5","At least once a week","No","Highest",1,0,1
"1287","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 1-5","At least once a week","No","Lowest",6,0,6
"1288","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 1-5","At least once a week","No","Middle",3,0,3
"1289","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 1-5","At least once a week","No","Second",3,3,6
"1290","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 1-5","At least once a week","Yes","Fourth",2,0,2
"1291","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 1-5","At least once a week","Yes","Lowest",3,1,4
"1292","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 1-5","At least once a week","Yes","Middle",1,1,2
"1293","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 1-5","At least once a week","Yes","Second",5,2,7
"1294","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 1-5","Less than once a week","No","Fourth",1,0,1
"1295","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 1-5","Less than once a week","No","Middle",0,2,2
"1296","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 1-5","Less than once a week","No","Second",1,1,2
"1297","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 1-5","Less than once a week","Yes","Lowest",0,1,1
"1298","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 1-5","Less than once a week","Yes","Middle",0,1,1
"1299","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 1-5","Less than once a week","Yes","Second",2,1,3
"1300","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 1-5","Not at all","Yes","Lowest",0,1,1
"1301","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","No","Fourth",70,12,82
"1302","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","No","Highest",24,4,28
"1303","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","No","Lowest",36,8,44
"1304","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","No","Middle",109,15,124
"1305","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","No","Second",106,16,122
"1306","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","Yes","Fourth",20,5,25
"1307","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","Yes","Highest",5,0,5
"1308","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","Yes","Lowest",13,8,21
"1309","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","Yes","Middle",49,8,57
"1310","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","Yes","Second",49,9,58
"1311","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","No","Fourth",4,3,7
"1312","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","No","Highest",2,1,3
"1313","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","No","Lowest",7,6,13
"1314","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","No","Middle",8,4,12
"1315","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","No","Second",8,8,16
"1316","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","Yes","Highest",1,0,1
"1317","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","Yes","Lowest",4,3,7
"1318","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","Yes","Middle",4,2,6
"1319","Sabaragamuwa","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","Yes","Second",2,2,4
